ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto
iDR3.SPLUS-s27s34.000016,53.47177064083596,-35.58249529440748,0.044706743,0.39579254,1.6550606,"[1.794812,4.822236,7.3669696,8.789112]",7.328053,5,8.704878,18.214378,1.5775801,21.749718,0.84277296,99.0,21.615349,24.676174,20.040762,24.613026,17.500404,99.0,21.161001,21.316582,0.50744593,21.935339,1.8597274,20.746782,0.26380336,21.213205,21.129868,20.19834,0.17640994,20.794195,0.35629293,19.543003,0.24469368,20.114077,0.35383546
iDR3.SPLUS-s27s34.042003,54.13628416729607,-34.561389939437454,0.482453,0.16648108,1.1997329,"[1.7535026,4.3548083,7.5855846,8.401931]",5.848122,3,7.062634,18.060125,1.4003218,99.0,21.470964,21.534256,0.5636853,99.0,20.651947,21.369318,0.7337528,24.26355,10.259147,21.522894,0.5069374,21.151503,0.7479828,21.847187,0.6175884,21.564474,21.822863,20.777029,0.25563163,20.238235,0.17793833,21.055866,0.82013685,19.550745,0.17646885
iDR3.SPLUS-s27s34.042025,53.752139908952344,-34.17635460357262,0.47386926,0.46062648,1.8540028,"[1.0480169,1.8997349,2.3930163,2.806685]",6.6350408,2,7.831315,18.342344,1.5133252,99.0,21.470964,99.0,21.615349,23.348288,4.783305,21.997023,1.278575,21.865723,1.1101245,23.737272,3.8091044,27.087036,172.88548,21.563713,0.4567541,21.611032,22.2906,21.023136,0.30726895,24.522,8.913771,24.088192,12.892079,20.964663,0.6236246
iDR3.SPLUS-s27s34.000018,53.68910613669444,-35.58363034847491,0.36481023,0.04445684,1.0465252,"[1.2303963,2.0406458,3.766879,4.5495696]",0.0,1,8.82086,18.199282,0.88733023,99.0,21.470964,99.0,21.615349,99.0,20.651947,26.680365,82.96177,99.0,21.161001,22.442575,1.0101545,23.80414,7.33767,21.763203,0.4740843,22.324955,22.642202,26.380596,36.631763,23.318403,2.564227,21.327919,0.89676625,20.575005,0.3847459
iDR3.SPLUS-s27s34.000032,53.445697944100104,-35.581516277125374,0.04957598,0.4035188,1.6764988,"[,3.869693,10.085039,13.428352,13.428352]",10.353149,8,8.910612,17.878304,2.2380588,99.0,21.470964,21.164816,0.6324715,19.636868,0.28107303,99.0,20.80195,20.278439,0.4571685,20.827934,0.46415043,20.020327,0.45875213,19.591143,0.13090473,20.69285,19.830465,19.500349,0.13305986,18.937424,0.09298365,19.532799,0.3469271,18.864025,0.16082302
iDR3.SPLUS-s27s34.042031,54.98918140504235,-34.163550472452265,0.0063257944,0.30948067,1.4481854,"[1.477633,2.777355,3.7642298,5.4160075]",5.8099365,27,6.8319826,17.067902,2.4442508,23.215118,4.16433,20.69368,0.3682493,20.324284,0.4713919,20.503149,0.5147582,21.235,0.9857595,20.34667,0.2676583,19.810387,0.33960816,19.52471,0.11180934,20.120415,19.750696,19.96537,0.1846974,19.464539,0.13546526,19.477959,0.29443732,19.331644,0.22049397
iDR3.SPLUS-s27s34.042035,53.844120922539396,-34.21757425960027,0.34417614,0.24986136,1.333087,"[1.4714066,2.829652,4.199041,5.552171]",7.3034267,2,8.162151,18.393318,1.4111242,21.333172,0.5537207,24.02316,5.8749876,99.0,20.651947,99.0,20.80195,99.0,21.161001,24.379887,7.8351965,21.037323,0.7512296,22.420555,1.1482627,21.742434,21.65373,21.345354,0.47185615,20.732508,0.31195995,20.187963,0.4103641,19.653109,0.21512434
iDR3.SPLUS-s27s34.042038,54.46831252617467,-34.17599825458292,0.25363547,0.18899477,1.2330377,"[1.1383907,2.1795669,3.557013,6.136776]",4.0003767,9,6.9890313,17.790398,1.3995072,21.515697,0.56350887,24.673822,9.19564,20.971807,0.5533873,22.324533,1.7540764,99.0,21.161001,22.143606,0.8931133,22.066858,1.7272176,21.34804,0.38263112,21.376291,21.12607,20.634567,0.2199168,20.302122,0.1872189,19.65991,0.22396584,20.041555,0.27184576
iDR3.SPLUS-s27s34.009228,55.09815781658075,-35.278148923604135,0.005155075,0.41948295,1.7226024,"[,3.9532943,13.831448,17.045382,20.213194]",15.393796,38,7.273869,17.544573,3.3688657,19.688335,0.22155403,19.625996,0.18857971,18.24737,0.09704247,18.882515,0.15395606,19.098097,0.18328917,19.264458,0.13037209,18.65604,0.15500551,18.516153,0.058179192,20.06195,18.545694,18.479078,0.062167227,18.273485,0.0595757,18.05834,0.106756054,99.0,21.296223
iDR3.SPLUS-s27s34.000048,53.521090852161386,-35.58138033514248,0.35085508,0.30629742,1.4415399,"[2.1979966,5.6052923,7.8688445,7.8688445]",0.0,0,9.056193,18.313917,1.3114741,23.046616,2.5977168,21.588451,0.6104317,20.196295,0.30814144,20.615395,0.41058546,99.0,21.161001,20.5955,0.24139777,21.45521,1.101639,20.399788,0.17662993,21.41217,20.386475,21.477972,0.5235853,21.884953,0.8943332,99.0,20.858423,20.98035,0.72614485
iDR3.SPLUS-s27s34.042050,53.82622068432146,-34.2147663288744,0.46349084,0.48135418,1.928098,"[1.3162341,2.4334922,4.7175107,6.468793]",5.7060533,2,8.0068,18.392273,1.3297968,23.653942,3.5977445,99.0,21.615349,23.05812,3.3487272,22.24946,1.4121048,99.0,21.161001,22.031292,0.6944529,21.005451,0.5623695,21.53872,0.39323926,21.972094,21.928486,22.619448,1.1707915,21.216465,0.37465775,20.495144,0.41909727,20.967201,0.55368596
iDR3.SPLUS-s27s34.000056,53.57976773650146,-35.581485273272136,0.35020924,0.41497827,1.7093382,"[1.0823053,1.675574,2.0005748,2.6732004]",0.0,0,8.760864,18.347998,0.7923802,22.544468,0.87777853,21.486355,0.30388254,21.555136,0.57578737,21.536907,0.51594627,99.0,21.161001,24.408653,4.298858,22.334682,1.3255831,22.216175,0.50159985,22.677277,22.186907,22.617702,0.80016595,99.0,21.821413,99.0,20.858423,21.110975,0.43888247
iDR3.SPLUS-s27s34.000066,53.73336549786371,-35.581555510037745,0.09666615,0.04630345,1.0485516,"[1.980281,5.902132,8.235158,8.235158]",6.104914,8,6.907617,17.833832,1.3725263,99.0,21.470964,21.836409,0.71685934,22.756155,2.9952257,21.321276,0.7237525,22.425632,1.9506733,21.715225,0.62354803,21.1521,0.7714904,20.409113,0.16575131,21.049107,20.525562,20.477129,0.19480768,20.139288,0.16670725,20.855133,0.7011685,19.113441,0.12157217
iDR3.SPLUS-s27s34.000078,53.608059570933676,-35.58046878686182,0.06618495,0.5028939,2.0116432,"[,1.8247724,3.1306603,4.3274655,12.122555]",9.337006,6,7.0147123,18.11171,2.2121327,99.0,21.470964,99.0,21.615349,20.46083,0.43022436,20.066648,0.272493,99.0,21.161001,99.0,21.81472,20.455982,0.48194844,20.832388,0.28736174,21.431993,21.290976,22.6745,1.7235812,21.004488,0.43536192,21.423508,1.3963376,19.447536,0.19467658
iDR3.SPLUS-s27s34.042057,54.18635383767869,-34.56191172455523,0.35574514,0.3067109,1.4423996,"[1.1450067,2.5586848,4.060422,4.6462793]",2.8978245,3,8.032329,17.797054,1.1562876,99.0,21.470964,23.318314,2.4866705,21.745674,1.0566543,22.36849,1.5769373,23.857193,6.065974,22.381695,0.95939994,22.31885,1.8792475,21.962833,0.59062684,22.424072,22.507174,22.08877,0.731868,20.611494,0.21555425,20.890926,0.6061167,20.63755,0.411438
iDR3.SPLUS-s27s34.042063,53.66172647386587,-34.561764840279345,0.4087534,0.31900656,1.468443,"[1.3188634,2.3770106,3.172947,7.842271]",7.529412,3,6.6240225,18.191532,1.5264416,24.434143,7.935625,99.0,21.615349,99.0,20.651947,24.984848,18.54264,21.54257,0.76802003,22.290487,0.9352724,21.172174,0.6950768,21.46518,0.39107275,22.051908,21.642183,23.130714,1.9941508,20.490868,0.20634079,20.226173,0.35206926,20.9088,0.5642969
iDR3.SPLUS-s27s34.042089,53.623620481964906,-34.175974478584166,0.37537184,0.44728833,1.8092617,"[1.8023162,3.0427864,4.221346,6.187895]",9.183764,2,8.290537,18.384672,2.2002487,20.882736,0.47910687,21.115477,0.53229827,22.035625,2.2258651,99.0,20.80195,20.766094,0.6299339,23.456497,4.5909867,22.082998,2.6912692,21.131992,0.47762996,21.147705,21.076153,20.599585,0.32335296,21.028017,0.5586576,99.0,20.858423,20.27232,0.5141137
iDR3.SPLUS-s27s34.042093,53.41572825450848,-34.55974359568393,0.3597803,0.5049057,2.019817,"[1.6977546,2.9748704,4.363946,5.269379]",7.871048,2,6.943254,18.194576,1.8707622,21.774097,0.7396267,21.819206,0.6920952,22.833923,3.1546335,21.840778,1.1483309,21.567877,0.875801,21.572493,0.53930694,21.301186,0.8722548,21.040705,0.29247478,21.209227,20.988346,21.569096,0.52415615,21.12432,0.40745708,20.923141,0.73249775,20.829145,0.575802
iDR3.SPLUS-s27s34.042103,53.48753166634921,-34.560644116663504,0.0031865023,0.22038269,1.2826806,"[1.9689765,5.0797915,7.6677766,9.291744]",8.689971,15,8.715971,17.849033,1.8078892,20.97892,0.5410538,20.694742,0.37459394,20.545029,0.58614993,99.0,20.80195,20.360023,0.4390642,20.869627,0.42942366,21.126059,1.1279571,19.984198,0.1683691,20.597042,20.237864,19.747375,0.14973238,19.325596,0.11879305,19.398598,0.27428952,19.311235,0.2168162
iDR3.SPLUS-s27s34.009255,55.096772306253136,-35.2739838193357,0.49448347,0.33704108,1.5083891,"[,8.166725,14.484051,15.169559,15.169559]",12.338592,2,9.493289,18.214153,2.5282598,23.274055,6.263671,19.176668,0.13103296,17.855045,0.071353674,18.176516,0.08508272,21.050056,1.1428571,19.378485,0.15121141,19.034906,0.2289391,18.421017,0.05571799,20.580751,18.19506,18.867367,0.09242584,18.284672,0.06286325,18.168688,0.12337487,21.91462,3.3126333
